slug,name,category,borough,neighborhood,address,lat,lng,short_description,hero_image_url,tv0,tv1,tv2,tv3,tv4,tv5,tv6,tv7,tv8,tv9,crowd_level,price_tier,typical_price_usd,typical_duration_minutes,best_time,indoor_outdoor,popularity_seed
grand-central-terminal,Grand Central Terminal,landmark,manhattan,Midtown,"Midtown, New York, NY",40.7527,-73.9772,"The Beaux-Arts main concourse, its green astronomical ceiling, the whispering gallery and a lower-level dining hall.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Image-Grand_central_Station_Outside_Night_2.jpg/1920px-Image-Grand_central_Station_Outside_Night_2.jpg,0.9,0.2,0.2,0.2,0.2,0.2,0.9,0.2,0.2,0.2,5,0,,45,morning,outdoor,95
rockefeller-center,Rockefeller Center,landmark,manhattan,Midtown,"Midtown, New York, NY",40.7587,-73.9787,A complex of Art Deco towers around a sunken plaza that holds the skating rink and the Christmas tree.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Rockefeller_Center_logo.svg/1920px-Rockefeller_Center_logo.svg.png,0.9,0.2,0.2,0.2,0.2,0.2,0.9,0.2,0.6,0.2,3,0,,75,morning,outdoor,43
times-square,Times Square,landmark,manhattan,Theater District,"Theater District, New York, NY",40.758,-73.9855,"The crossroads of Broadway and Seventh, lit around the clock by billboards. Loud, crowded and unmistakably New York.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/New_york_times_square-terabass.jpg/1920px-New_york_times_square-terabass.jpg,0.9,0.2,0.2,0.2,0.2,0.2,0.9,0.2,0.5,0.2,3,0,,105,morning,outdoor,48
statue-of-liberty,Statue of Liberty,landmark,manhattan,Liberty Island,"Liberty Island, New York, NY",40.6892,-74.0445,"Bartholdi's copper figure on Liberty Island, reached by ferry from the Battery, with pedestal and crown tickets sold separately.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Front_view_of_Statue_of_Liberty_%28cropped%29.jpg/1920px-Front_view_of_Statue_of_Liberty_%28cropped%29.jpg,0.9,0.2,0.2,0.2,0.2,0.2,0.9,0.2,0.5,0.2,3,0,,135,morning,outdoor,53
chinatown,Chinatown,neighborhood,manhattan,Chinatown,"Chinatown, New York, NY",40.7158,-73.997,"Dense blocks of markets, bakeries and dumpling shops around Mott and Canal, with Columbus Park busy from early morning.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/2024-05-20_13_32_04_View_west_along_East_Broadway_from_the_Manhattan_Bridge_in_Manhattan%2C_New_York_City%2C_New_York.jpg/1920px-2024-05-20_13_32_04_View_west_along_East_Broadway_from_the_Manhattan_Bridge_in_Manhattan%2C_New_York_City%2C_New_York.jpg,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.2,3,0,,165,morning,outdoor,58
harlem,Harlem,neighborhood,manhattan,Harlem,"Harlem, New York, NY",40.8116,-73.9465,"Brownstone streets, gospel Sundays and a long musical history around 125th Street and Marcus Garvey Park.",https://upload.wikimedia.org/wikipedia/commons/a/a6/Harlem_04.jpg,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.2,4,0,,195,morning,outdoor,63
greenwich-village,Greenwich Village,neighborhood,manhattan,Greenwich Village,"Greenwich Village, New York, NY",40.7336,-74.0027,"Low brick townhouses on crooked streets, jazz basements and the cafes around Bleecker and MacDougal.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Greenwich_Village_%2827483343909%29.jpg/1920px-Greenwich_Village_%2827483343909%29.jpg,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.2,2,0,,45,morning,outdoor,38
soho,SoHo,neighborhood,manhattan,SoHo,"SoHo, New York, NY",40.7233,-74.003,"The largest concentration of cast-iron architecture anywhere, with flagship shops filling the ground floors.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Cast_Iron_Grand_Crosby_jeh_crop.jpg/1920px-Cast_Iron_Grand_Crosby_jeh_crop.jpg,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.2,3,0,,75,morning,outdoor,43
lower-east-side,Lower East Side,neighborhood,manhattan,Lower East Side,"Lower East Side, New York, NY",40.715,-73.9843,"Tenement blocks turned over to galleries, record shops, bars and the old appetizing stores that stayed put.",https://upload.wikimedia.org/wikipedia/commons/b/b9/Orchard_St_looking_south_at_Rivington_St.jpg,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.2,3,0,,105,morning,outdoor,48
little-italy,Little Italy,neighborhood,manhattan,Little Italy,"Little Italy, New York, NY",40.7191,-73.9973,"A few surviving blocks of Mulberry Street, with pastry counters, red-sauce restaurants and the San Gennaro feast.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Little_Italy_-_Manhattan_%2851624758690%29.jpg/1920px-Little_Italy_-_Manhattan_%2851624758690%29.jpg,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.2,3,0,,135,morning,outdoor,53
chelsea-market,Chelsea Market,market,manhattan,Chelsea,"Chelsea, New York, NY",40.7425,-74.0061,"A food hall in the old Nabisco factory where the Oreo was invented, opening straight onto the High Line.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Chelsea_Market_%2849052085186%29.jpg/1920px-Chelsea_Market_%2849052085186%29.jpg,0.2,0.2,0.2,0.9,0.2,0.9,0.2,0.2,0.4,0.2,3,1,18.00,165,afternoon,indoor,58
essex-market,Essex Market,market,manhattan,Lower East Side,"Lower East Side, New York, NY",40.7185,-73.9877,"A public market trading since 1940, now in a new hall on Delancey with produce, fishmongers and prepared food upstairs.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Essex_Market_%2851623898821%29.jpg/1920px-Essex_Market_%2851623898821%29.jpg,0.2,0.2,0.2,0.9,0.2,0.9,0.2,0.2,0.4,0.2,4,2,36.00,195,afternoon,indoor,63
union-square-greenmarket,Union Square Greenmarket,market,manhattan,Union Square,"Union Square, New York, NY",40.7359,-73.9911,"Regional farmers fill the north end of Union Square four days a week, year round, whatever the weather.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/1_new_york_city_union_square_2010.JPG/1920px-1_new_york_city_union_square_2010.JPG,0.2,0.2,0.2,0.9,0.2,0.9,0.2,0.2,0.6,0.2,2,1,18.00,45,afternoon,indoor,38
the-drawing-center,The Drawing Center,gallery,manhattan,SoHo,"SoHo, New York, NY",40.7222,-74.0026,"The only museum in the country devoted to drawing, showing historical and contemporary work in a SoHo loft.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/The_Drawing_Center_-_NYC_%2848129060193%29.jpg/1920px-The_Drawing_Center_-_NYC_%2848129060193%29.jpg,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.6,0.2,3,0,,75,morning,indoor,43
apollo-theater,Apollo Theater,theater,manhattan,Harlem,"Harlem, New York, NY",40.81,-73.95,"The Harlem stage where Amateur Night launched Ella Fitzgerald and James Brown, still running weekly.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Harlem_-_Apollo_Theater_%2848555309512%29.jpg/1920px-Harlem_-_Apollo_Theater_%2848555309512%29.jpg,0.2,0.9,0.2,0.2,0.9,0.2,0.2,0.2,0.5,0.2,3,3,54.00,105,afternoon,indoor,48
broadway-theater-district,Broadway Theater District,theater,manhattan,Theater District,"Theater District, New York, NY",40.759,-73.9845,"Forty-one theatres in the blocks around Times Square, with the TKTS steps selling same-day seats at a discount.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Various_Pictures_from_New_York_City_-_September%2C_2025.jpg/1920px-Various_Pictures_from_New_York_City_-_September%2C_2025.jpg,0.2,0.9,0.2,0.2,0.9,0.2,0.2,0.2,0.5,0.2,3,3,54.00,135,afternoon,indoor,53
lincoln-center,Lincoln Center,venue,manhattan,Lincoln Square,"Lincoln Square, New York, NY",40.7725,-73.9835,"A campus for the Metropolitan Opera, the Philharmonic and City Ballet, arranged around a travertine plaza and fountain.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Lincoln_Center_Overview_%2848047495362%29.jpg/1920px-Lincoln_Center_Overview_%2848047495362%29.jpg,0.2,0.2,0.2,0.2,0.9,0.2,0.2,0.2,0.4,0.2,3,3,54.00,165,afternoon,indoor,58
radio-city-music-hall,Radio City Music Hall,venue,manhattan,Midtown,"Midtown, New York, NY",40.76,-73.98,"A 1932 Art Deco hall with the largest proscenium in the world, home to the Rockettes and their Christmas show.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Radio_City_Music_Hall_%2851395756913%29.jpg/1920px-Radio_City_Music_Hall_%2851395756913%29.jpg,0.2,0.2,0.2,0.2,0.9,0.2,0.2,0.2,0.4,0.2,4,3,54.00,195,afternoon,indoor,63
carnegie-hall,Carnegie Hall,venue,manhattan,Midtown,"Midtown, New York, NY",40.7651,-73.9799,The 1891 concert hall on 57th Street whose main auditorium is still considered among the finest anywhere for sound.,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Carnegie_Hall_-_Full_%2848155558466%29.jpg/1920px-Carnegie_Hall_-_Full_%2848155558466%29.jpg,0.2,0.2,0.2,0.2,0.9,0.2,0.2,0.2,0.6,0.2,2,3,54.00,45,afternoon,indoor,38
blue-note-jazz-club,Blue Note Jazz Club,venue,manhattan,Greenwich Village,"Greenwich Village, New York, NY",40.731,-74.0007,"A small Greenwich Village room booking major jazz names two sets a night, with tables tight against the stage.",https://upload.wikimedia.org/wikipedia/commons/c/c6/Blue_Note_Jazz_Club%2C_New_York_City.jpg,0.2,0.2,0.2,0.2,0.9,0.2,0.2,0.2,0.6,0.2,3,3,54.00,75,afternoon,indoor,43
pier-17,Pier 17,waterfront,manhattan,Seaport,"Seaport, New York, NY",40.7057,-74.0027,A rebuilt Seaport pier with a rooftop concert lawn looking straight at the Brooklyn Bridge and the East River.,https://upload.wikimedia.org/wikipedia/commons/e/e1/South_Street_Seaport%2C_Detroit_Photographic_Company_%280616%29.jpg,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.5,0.2,3,0,,105,morning,outdoor,48
hudson-river-park,Hudson River Park,waterfront,manhattan,West Village,"West Village, New York, NY",40.734,-74.01,"Four miles of piers, lawns and bike path along the west side, running from the Battery up to 59th Street.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/HRPKsep2021.png/1920px-HRPKsep2021.png,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.5,0.2,3,0,,135,morning,outdoor,53
east-river-esplanade,East River Esplanade,waterfront,manhattan,Upper East Side,"Upper East Side, New York, NY",40.774,-73.944,"A quiet waterfront walk on the Upper East Side, looking across to Roosevelt Island and the Queensboro Bridge.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/East_River_at_Stuyvesant_Cove_Park_%283356237699%29.jpg/1920px-East_River_at_Stuyvesant_Cove_Park_%283356237699%29.jpg,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.4,0.2,3,0,,165,morning,outdoor,58
south-street-seaport,South Street Seaport,waterfront,manhattan,Seaport,"Seaport, New York, NY",40.7064,-74.0035,"Cobbled streets and nineteenth-century counting houses beside the East River, with historic ships tied up at the pier.",https://upload.wikimedia.org/wikipedia/commons/e/e1/South_Street_Seaport%2C_Detroit_Photographic_Company_%280616%29.jpg,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.4,0.2,4,0,,195,morning,outdoor,63
conservatory-garden,Conservatory Garden,garden,manhattan,East Harlem,"East Harlem, New York, NY",40.794,-73.952,"Central Park's only formal garden, six acres in Italian, French and English styles, entered through the Vanderbilt Gate.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Central_Park_23.jpg/1920px-Central_Park_23.jpg,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.6,0.9,2,0,,45,morning,outdoor,38
jefferson-market-garden,Jefferson Market Garden,garden,manhattan,Greenwich Village,"Greenwich Village, New York, NY",40.7345,-74.0008,"A volunteer-run garden on the site of a former jail, beside the Victorian Gothic Jefferson Market Library.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Jefferson_Market_Library_at_sunset.jpg/1920px-Jefferson_Market_Library_at_sunset.jpg,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.6,0.9,3,0,,75,morning,outdoor,43
heather-garden,Heather Garden,garden,manhattan,Fort Tryon Park,"Fort Tryon Park, New York, NY",40.8606,-73.9337,"Three acres of heath and perennial planting on a ridge in Fort Tryon Park, with the Hudson and the Palisades below.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/2013_Fort_Tryon_Park_main_entrance_sign_at_Margaret_Corbin_Circle_in_snow.jpg/1920px-2013_Fort_Tryon_Park_main_entrance_sign_at_Margaret_Corbin_Circle_in_snow.jpg,0.2,0.2,0.9,0.2,0.2,0.2,0.2,0.2,0.5,0.9,3,0,,105,morning,outdoor,48
federal-hall,Federal Hall,historic_site,manhattan,Financial District,"Financial District, New York, NY",40.7074,-74.0104,"Where Washington took the first presidential oath, marked by his statue on the steps opposite the Stock Exchange.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Federal_Hall_%2848126566178%29.jpg/1920px-Federal_Hall_%2848126566178%29.jpg,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,3,0,,135,morning,outdoor,53
hamilton-grange,Hamilton Grange,historic_site,manhattan,Hamilton Heights,"Hamilton Heights, New York, NY",40.8199,-73.9465,"Alexander Hamilton's country house, moved twice and restored in St Nicholas Park with its original room plan.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Hamilton_Grange_National_Memorial_-_Entrance_%2848170424452%29.jpg/1920px-Hamilton_Grange_National_Memorial_-_Entrance_%2848170424452%29.jpg,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,3,0,,165,morning,outdoor,58
morris-jumel-mansion,Morris-Jumel Mansion,historic_site,manhattan,Washington Heights,"Washington Heights, New York, NY",40.8347,-73.9377,"Manhattan's oldest surviving house, built 1765, used by Washington as a headquarters during the battle for New York.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/2014_Morris-Jumel_Mansion_from_southwest.jpg/1920px-2014_Morris-Jumel_Mansion_from_southwest.jpg,0.9,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,4,0,,195,morning,outdoor,63
brooklyn-bridge,Brooklyn Bridge,bridge,manhattan,Civic Center,"Civic Center, New York, NY",40.7061,-73.9969,"The 1883 granite-and-steel crossing to Brooklyn, with a raised pedestrian promenade running down the centre of the span.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Brooklyn_Bridge_and_the_Lower_Manhattan_skyline_from_Pebble_Beach%2C_New_York.jpg/1920px-Brooklyn_Bridge_and_the_Lower_Manhattan_skyline_from_Pebble_Beach%2C_New_York.jpg,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.9,0.6,0.2,2,0,,45,morning,outdoor,38
manhattan-bridge,Manhattan Bridge,bridge,manhattan,Chinatown,"Chinatown, New York, NY",40.7075,-73.9903,"The quieter East River crossing, with a walkway that gives the classic view back at the Brooklyn Bridge.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Manhattan_Bridge_January_2023_003.jpg/1920px-Manhattan_Bridge_January_2023_003.jpg,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.9,0.6,0.2,3,0,,75,morning,outdoor,43
madison-square-garden,Madison Square Garden,sports_venue,manhattan,Midtown,"Midtown, New York, NY",40.7505,-73.9934,"The arena above Penn Station, home to the Knicks and the Rangers and a constant concert schedule.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Madison_Square_Garden_%28MSG%29_-_Full_%2848124330357%29.jpg/1920px-Madison_Square_Garden_%28MSG%29_-_Full_%2848124330357%29.jpg,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.5,0.2,3,3,54.00,105,afternoon,outdoor,48
chelsea-piers,Chelsea Piers,sports_venue,manhattan,Chelsea,"Chelsea, New York, NY",40.7466,-74.0086,"A sports complex built into four Hudson River piers, with golf, climbing, skating and batting cages.",https://upload.wikimedia.org/wikipedia/commons/f/f2/Chelsea_Piers.jpg,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.9,0.5,0.2,3,3,54.00,135,afternoon,outdoor,53
